z,boundary,estimated_x,bisection_steps,queries,nominal_budget,actual_queries_total
-0.8746133317094298,2,0.95648193359375,14,16,100000,22944
-0.8744769874476988,0,-0.24359130859375,14,16,100000,22944
-0.8744769874476988,1,0.35650634765625,14,16,100000,22944
-0.8744769874476988,2,0.95648193359375,14,16,100000,22944
-0.866201535720255,0,-0.24615478515625,14,16,100000,22944
-0.866201535720255,1,0.35382080078125,14,16,100000,22944
-0.866201535720255,2,0.95379638671875,14,16,100000,22944
-0.8661087866108786,0,-0.24627685546875,14,16,100000,22944
-0.8661087866108786,1,0.35382080078125,14,16,100000,22944
-0.8661087866108786,2,0.95379638671875,14,16,100000,22944
-0.8577405857740585,0,-0.24896240234375,14,16,100000,22944
-0.8577405857740585,1,0.35101318359375,14,16,100000,22944
-0.8577405857740585,2,0.95111083984375,14,16,100000,22944
-0.8575736542859238,0,-0.24896240234375,14,16,100000,22944
-0.8575736542859238,1,0.35101318359375,14,16,100000,22944
-0.8575736542859238,2,0.95098876953125,14,16,100000,22944
-0.8493723849372385,0,-0.25164794921875,14,16,100000,22944
-0.8493723849372385,1,0.34832763671875,14,16,100000,22944
-0.8493723849372385,2,0.94830322265625,14,16,100000,22944
-0.8493635463273035,0,-0.25164794921875,14,16,100000,22944
-0.8493635463273035,1,0.34832763671875,14,16,100000,22944
-0.8493635463273035,2,0.94830322265625,14,16,100000,22944
-0.8410041841004184,0,-0.25433349609375,14,16,100000,22944
-0.8410041841004184,1,0.34564208984375,14,16,100000,22944
-0.8410041841004184,2,0.94561767578125,14,16,100000,22944
-0.8404949854905199,0,-0.25457763671875,14,16,100000,22944
-0.8404949854905199,1,0.34539794921875,14,16,100000,22944
-0.8404949854905199,2,0.94549560546875,14,16,100000,22944
-0.8326359832635983,0,-0.25714111328125,14,16,100000,22944
-0.8326359832635983,1,0.34283447265625,14,16,100000,22944
-0.8326359832635983,2,0.94293212890625,14,16,100000,22944
-0.8319481854030811,0,-0.25738525390625,14,16,100000,22944
-0.8319481854030811,1,0.34271240234375,14,16,100000,22944
-0.8319481854030811,2,0.94268798828125,14,16,100000,22944
-0.8242677824267782,0,-0.25982666015625,14,16,100000,22944
-0.8242677824267782,1,0.34014892578125,14,16,100000,22944
-0.8242677824267782,2,0.94012451171875,14,16,100000,22944
-0.8238846207583918,0,-0.25994873046875,14,16,100000,22944
-0.8238846207583918,1,0.34002685546875,14,16,100000,22944
-0.8238846207583918,2,0.94000244140625,14,16,100000,22944
-0.8161728078029077,0,-0.26251220703125,14,16,100000,22944
-0.8161728078029077,1,0.33746337890625,14,16,100000,22944
-0.8161728078029077,2,0.93743896484375,14,16,100000,22944
-0.8158995815899581,0,-0.26263427734375,14,16,100000,22944
-0.8158995815899581,1,0.33734130859375,14,16,100000,22944
-0.8158995815899581,2,0.93743896484375,14,16,100000,22944
-0.8075313807531381,0,-0.26531982421875,14,16,100000,22944
-0.8075313807531381,1,0.33465576171875,14,16,100000,22944
-0.8075313807531381,2,0.93463134765625,14,16,100000,22944
-0.8067551554195594,0,-0.26556396484375,14,16,100000,22944
-0.8067551554195594,1,0.33441162109375,14,16,100000,22944
-0.8067551554195594,2,0.93438720703125,14,16,100000,22944
-0.8001705448679766,0,-0.26776123046875,14,16,100000,22944
-0.8001705448679766,1,0.33221435546875,14,16,100000,22944
-0.8001705448679766,2,0.93218994140625,14,16,100000,22944
-0.799163179916318,0,-0.26812744140625,14,16,100000,22944
-0.799163179916318,1,0.33184814453125,14,16,100000,22944
-0.799163179916318,2,0.93194580078125,14,16,100000,22944
-0.7909931097413917,0,-0.27081298828125,14,16,100000,22944
-0.7909931097413917,1,0.32916259765625,14,16,100000,22944
-0.7909931097413917,2,0.92913818359375,14,16,100000,22944
-0.7907949790794979,0,-0.27093505859375,14,16,100000,22944
-0.7907949790794979,1,0.32916259765625,14,16,100000,22944
-0.7907949790794979,2,0.92913818359375,14,16,100000,22944
-0.782852864603295,0,-0.27349853515625,14,16,100000,22944
-0.782852864603295,1,0.32647705078125,14,16,100000,22944
-0.782852864603295,2,0.92645263671875,14,16,100000,22944
-0.7824267782426778,0,-0.27362060546875,14,16,100000,22944
-0.7824267782426778,1,0.32635498046875,14,16,100000,22944
-0.7824267782426778,2,0.92633056640625,14,16,100000,22944
-0.7740585774058577,0,-0.27642822265625,14,16,100000,22944
-0.7740585774058577,1,0.32354736328125,14,16,100000,22944
-0.7740585774058577,2,0.92352294921875,14,16,100000,22944
