boundary,z,true_x,estimated_x,queries
1,-0.9246861924686193,0.37257453906935784,0.37261962890625,22944
1,-0.9163179916317992,0.3699037285312904,0.36993408203125,22944
1,-0.9079497907949791,0.3672277366362591,0.36724853515625,22944
1,-0.899581589958159,0.36454640542982863,0.36456298828125,22944
1,-0.891213389121339,0.36185957277922043,0.36187744140625,22944
1,-0.8828451882845189,0.3591670723063451,0.35919189453125,22944
1,-0.8744769874476988,0.35646873332300893,0.35650634765625,22944
1,-0.8661087866108786,0.3537643807685992,0.35382080078125,22944
1,-0.8577405857740585,0.3510538351505813,0.35101318359375,22944
1,-0.8493723849372385,0.34833691248815535,0.34832763671875,22944
1,-0.8410041841004184,0.3456134242594452,0.34564208984375,22944
1,-0.8326359832635983,0.342883177352614,0.34283447265625,22944
1,-0.8242677824267782,0.3401459740213225,0.34014892578125,22944
1,-0.8158995815899581,0.33740161184497247,0.33734130859375,22944
1,-0.8075313807531381,0.33464988369419835,0.33465576171875,22944
1,-0.799163179916318,0.3318905777020992,0.33184814453125,22944
1,-0.7907949790794979,0.32912347724172514,0.32916259765625,22944
1,-0.7824267782426778,0.3263483609103601,0.32635498046875,22944
1,-0.7740585774058577,0.32356500252116793,0.32354736328125,22944
1,-0.7656903765690377,0.3207731711027961,0.32073974609375,22944
1,-0.7573221757322176,0.3179726309075574,0.31793212890625,22944
1,-0.7489539748953975,0.31516314142883717,0.31512451171875,22944
1,-0.7405857740585775,0.3123444574283986,0.31231689453125,22944
1,-0.7322175732217573,0.3095163289742865,0.30950927734375,22944
1,-0.7238493723849373,0.3066785014900556,0.30670166015625,22944
1,-0.7154811715481172,0.3038307158160723,0.30377197265625,22944
1,-0.7071129707112971,0.30097270828366635,0.30096435546875,22944
1,-0.6987447698744771,0.2981042108029288,0.29815673828125,22944
1,-0.6903765690376569,0.29522495096497664,0.29522705078125,22944
1,-0.6820083682008369,0.2923346521595233,0.29229736328125,22944
1,-0.6736401673640168,0.2894330337086124,0.28948974609375,22944
1,-0.6652719665271967,0.28651981101738877,0.28656005859375,22944
1,-0.6569037656903767,0.2835946957427931,0.28363037109375,22944
1,-0.6485355648535565,0.2806573959810769,0.28070068359375,22944
1,-0.6401673640167365,0.2777076164750422,0.27764892578125,22944
1,-0.6317991631799164,0.27474505884191125,0.27471923828125,22944
1,-0.6234309623430963,0.27176942182273356,0.27178955078125,22944
1,-0.6150627615062763,0.2687804015542282,0.26873779296875,22944
1,-0.606694560669456,0.2657776918639504,0.26580810546875,22944
1,-0.598326359832636,0.26276098458965336,0.26275634765625,22944
1,-0.5899581589958159,0.2597299699236943,0.25970458984375,22944
1,-0.5815899581589958,0.25668433678330294,0.25665283203125,22944
1,-0.5732217573221758,0.25362377320749363,0.25360107421875,22944
1,-0.5648535564853556,0.25054796678135816,0.25054931640625,22944
1,-0.5564853556485356,0.24745660508842238,0.24749755859375,22944
1,-0.5481171548117155,0.24434937619168773,0.24432373046875,22944
1,-0.5397489539748954,0.24122596914390762,0.24127197265625,22944
1,-0.5313807531380754,0.23808607452756697,0.23809814453125,22944
1,-0.5230125523012552,0.2349293850249406,0.23492431640625,22944
1,-0.5146443514644352,0.2317555960185061,0.23175048828125,22944
1,-0.5062761506276151,0.22856440622186847,0.22857666015625,22944
1,-0.497907949790795,0.22535551834123424,0.22540283203125,22944
1,-0.4895397489539749,0.22212863976732983,0.22210693359375,22944
1,-0.4811715481171549,0.2188834832975139,0.21893310546875,22944
1,-0.4728033472803348,0.21561976788766946,0.21563720703125,22944
1,-0.4644351464435147,0.21233721943328987,0.21234130859375,22944
1,-0.4560669456066946,0.2090355715789849,0.20904541015625,22944
1,-0.4476987447698745,0.20571456655543824,0.20574951171875,22944
1,-0.4393305439330545,0.20237395604263667,0.20233154296875,22944
1,-0.4309623430962344,0.19901350205797189,0.19903564453125,22944
1,-0.4225941422594143,0.19563297786758677,0.19561767578125,22944
1,-0.41422594142259417,0.1922321689190962,0.19219970703125,22944
1,-0.40585774058577406,0.18881087379356631,0.18878173828125,22944
1,-0.39748953974895407,0.18536890517437915,0.18536376953125,22944
1,-0.38912133891213396,0.18190609083034942,0.18194580078125,22944
1,-0.38075313807531386,0.17842227461019522,0.17840576171875,22944
1,-0.37238493723849375,0.17491731744519523,0.17486572265625,22944
1,-0.36401673640167365,0.17139109835659802,0.17144775390625,22944
1,-0.35564853556485365,0.1678435154640839,0.16778564453125,22944
1,-0.34728033472803355,0.16427448699131558,0.16424560546875,22944
1,-0.33891213389121344,0.16068395226436222,0.16070556640625,22944
1,-0.33054393305439334,0.157071872698534,0.15704345703125,22944
1,-0.32217573221757323,0.15343823276893426,0.15338134765625,22944
1,-0.31380753138075324,0.1497830409598189,0.14984130859375,22944
1,-0.30543933054393313,0.14610633068765644,0.14605712890625,22944
1,-0.297071129707113,0.1424081611926076,0.14239501953125,22944
1,-0.2887029288702929,0.13868861839299368,0.13873291015625,22944
1,-0.2803347280334728,0.1349478156972046,0.13494873046875,22944
1,-0.2719665271966528,0.13118589476740936,0.13116455078125,22944
1,-0.2635983263598327,0.12740302622938013,0.12738037109375,22944
1,-0.2552301255230126,0.12359941032272945,0.12359619140625,22944
1,-0.2468619246861925,0.11977527748588693,0.11981201171875,22944
1,-0.2384937238493724,0.11593088887021626,0.11590576171875,22944
1,-0.2301255230125524,0.11206653677779294,0.11212158203125,22944
1,-0.2217573221757323,0.10818254501752955,0.10821533203125,22944
1,-0.2133891213389122,0.10427926917455625,0.10430908203125,22944
1,-0.20502092050209209,0.10035709678802993,0.10040283203125,22944
1,-0.1966527196652721,0.0964164474328695,0.09637451171875,22944
