seed,family,strategy,samples,queries,d_H,policy_risk
3,admission_control,uniform,1000,1000,0.18733043992656012,0.10924
3,admission_control,active_adaptive_bisection,1000,957,0.0078125,0.00537
3,admission_control,uniform,2000,2000,0.1440710394506981,0.06291
3,admission_control,active_adaptive_bisection,2000,1892,0.004873242607169592,0.00291
3,admission_control,uniform,5000,5000,0.08148891545752956,0.02842
3,admission_control,active_adaptive_bisection,5000,4980,0.0020684002473414682,0.00062
3,admission_control,uniform,10000,10000,0.04530897287479066,0.02201
3,admission_control,active_adaptive_bisection,10000,9896,0.00048828125,0.00044
3,admission_control,uniform,25000,25000,0.0450425275243419,0.02084
3,admission_control,active_adaptive_bisection,25000,19128,0.000244140625,0.00026
3,admission_control,uniform,50000,50000,0.045053186898662556,0.02082
3,admission_control,active_adaptive_bisection,50000,20483,0.0001220703125,0.00016
3,admission_control,uniform,100000,100000,0.046013252242814495,0.02063
3,admission_control,active_adaptive_bisection,100000,21838,6.103515625e-05,6e-05
3,resource_allocation,uniform,100,100,0.4964027580075816,0.33242
3,resource_allocation,active_adaptive_bisection,100,84,0.03257011140332189,0.02461
3,resource_allocation,uniform,200,200,0.4964027580075816,0.33242
3,resource_allocation,active_adaptive_bisection,200,189,0.030506608546069514,0.01842
3,resource_allocation,uniform,500,500,0.6969493546486929,0.16362
3,resource_allocation,active_adaptive_bisection,500,480,0.015349512436033053,0.00888
3,resource_allocation,uniform,1000,1000,0.21312820719454728,0.11309
3,resource_allocation,active_adaptive_bisection,1000,999,0.0077029702003895695,0.00453
3,resource_allocation,uniform,2000,2000,0.09871453587747203,0.05281
3,resource_allocation,active_adaptive_bisection,2000,1980,0.003845325553265222,0.00209
3,resource_allocation,uniform,5000,5000,0.034657748525728005,0.02423
3,resource_allocation,active_adaptive_bisection,5000,4968,0.0009705163019823604,0.00056
3,resource_allocation,uniform,10000,10000,0.02927343436868185,0.01864
3,resource_allocation,active_adaptive_bisection,10000,9984,0.0004771625319259787,0.00028
3,resource_allocation,uniform,25000,25000,0.02691106453754427,0.01774
3,resource_allocation,active_adaptive_bisection,25000,20076,0.00024340871997247104,0.00016
3,resource_allocation,uniform,50000,50000,0.026101013938158557,0.01757
3,resource_allocation,active_adaptive_bisection,50000,21510,0.00012200175837440153,0.0001
3,resource_allocation,uniform,100000,100000,0.0246679454338109,0.01767
3,resource_allocation,active_adaptive_bisection,100000,22944,6.0966602124401525e-05,2e-05
3,random_structured,uniform,100,100,0.5,0.36524
3,random_structured,active_adaptive_bisection,100,74,0.05342721600973688,0.02204
3,random_structured,uniform,200,200,0.5,0.36524
3,random_structured,active_adaptive_bisection,200,169,0.029562333906782527,0.01729
3,random_structured,uniform,500,500,1.2154255011439563,0.26934
3,random_structured,active_adaptive_bisection,500,432,0.015426508779163739,0.00902
3,random_structured,uniform,1000,1000,0.20380401694506667,0.15217
3,random_structured,active_adaptive_bisection,1000,901,0.007614008779163739,0.00462
3,random_structured,uniform,2000,2000,0.15337184831977724,0.07433
3,random_structured,active_adaptive_bisection,2000,1982,0.00389014534350407,0.0018
3,random_structured,uniform,5000,5000,0.11132997546512136,0.02852
3,random_structured,active_adaptive_bisection,5000,4928,0.000960681015970688,0.00044
3,random_structured,uniform,10000,10000,0.01930585694836895,0.00467
3,random_structured,active_adaptive_bisection,10000,9909,0.000487214250030954,0.00029
3,random_structured,uniform,25000,25000,0.004623869432795469,0.00162
3,random_structured,active_adaptive_bisection,25000,17892,0.00024307362503095398,6e-05
