seed,budget,boundary,dH_j
21,500,B2,0.0006683148777494809
21,1000,B0,0.00023661886762100197
21,1000,B1,0.0004367671301059585
21,1000,B2,0.0004043603840779518
21,2000,B0,0.00025034897370837034
21,2000,B1,0.00020301769869530872
21,2000,B2,0.0001684582925651228
21,5000,B0,9.474477686222003e-05
21,5000,B1,7.462013929039333e-05
21,5000,B2,8.961314160683387e-05
21,10000,B0,6.387360707301449e-05
21,10000,B1,5.289668876897593e-05
21,10000,B2,5.1718508556154926e-05
21,25000,B0,3.29553148348198e-05
21,25000,B1,3.169312666215293e-05
21,25000,B2,2.8696315012384326e-05
21,50000,B0,2.043115534169224e-05
21,50000,B1,2.771575721814594e-05
21,50000,B2,2.6534588548467947e-05
21,100000,B0,2.2341027069729994e-05
21,100000,B1,2.000286999606097e-05
21,100000,B2,2.212985683120116e-05
22,100,B0,0.003880174832437917
22,100,B1,0.0037261932311118185
22,100,B2,0.004624051375933926
22,200,B0,0.0025026605706204527
22,200,B1,0.0023662243593273275
22,200,B2,0.0021096701785545168
22,500,B0,0.000753608863935445
22,500,B1,0.0008241722342371159
22,500,B2,0.0004270530070207734
22,1000,B0,0.00043996137834436685
22,1000,B1,0.0003664024686081324
22,1000,B2,0.00041252559034263015
22,2000,B0,0.0002608614992187912
22,2000,B1,0.00015328798876648018
22,2000,B2,0.00021777040824958802
22,5000,B0,0.00010852522970398014
22,5000,B1,9.505734000707564e-05
22,5000,B2,7.517943585712991e-05
22,10000,B0,8.056611058325727e-05
22,10000,B1,4.574112781117227e-05
22,10000,B2,5.754821144424492e-05
22,25000,B0,3.2169907884473265e-05
22,25000,B1,2.3802675156589544e-05
22,25000,B2,3.3709822654985866e-05
22,50000,B0,2.8957723372016713e-05
22,50000,B1,3.012790391450684e-05
22,50000,B2,2.4354010147206606e-05
22,100000,B0,3.25267124533752e-05
22,100000,B1,3.0340674274351723e-05
22,100000,B2,2.620350344100111e-05
23,100,B0,0.0043416201199394855
23,100,B1,0.004389253820571957
23,100,B2,0.0037942349231112355
23,200,B0,0.0024042663745973193
23,200,B1,0.001818910516992881
23,200,B2,0.0017285225836092524
23,500,B0,0.0008037765755539429
23,500,B1,0.0005471473833137825
23,500,B2,0.0007043486995305205
23,1000,B0,0.0004498149735223418
23,1000,B1,0.00044915139713910514
23,1000,B2,0.00045230747058770134
23,2000,B0,0.00024152263136759615
23,2000,B1,0.0001732975547191578
23,2000,B2,0.0001596521683198407
23,5000,B0,0.00010884959145963015
23,5000,B1,0.00012146595412415565
23,5000,B2,8.045334833121473e-05
23,10000,B0,7.337631769250061e-05
23,10000,B1,4.393289404013882e-05
23,10000,B2,3.9889731645231905e-05
23,25000,B0,2.392633630669035e-05
23,25000,B1,3.4885751188431786e-05
23,25000,B2,3.2000497584319626e-05
23,50000,B0,3.197547846133128e-05
23,50000,B1,2.8395291073702418e-05
23,50000,B2,2.3277432869877855e-05
23,100000,B0,2.3949616942890333e-05
23,100000,B1,2.2772124610434203e-05
23,100000,B2,1.5765164275752075e-05
24,100,B0,0.004258552084431609
24,100,B1,0.004428609272875783
24,100,B2,0.003872968482933434
24,200,B0,0.0027409482598963193
24,200,B1,0.002900337313183626
24,200,B2,0.0013554737347591034
24,500,B0,0.0009400312925431054
24,500,B1,0.0009162882115675946
24,500,B2,0.0006691393336534958
24,1000,B0,0.0005282576184357061
24,1000,B1,0.000470801561318247
24,1000,B2,0.0003326345808163888
24,2000,B0,0.00019500702187764943
24,2000,B1,0.00021734282212593618
24,2000,B2,0.00016696170157261348
24,5000,B0,0.00010537680349549906
24,5000,B1,9.96426975846084e-05
24,5000,B2,0.0001016369122528747
24,10000,B0,5.806076634604852e-05
24,10000,B1,6.134304813351506e-05
24,10000,B2,4.297932961279386e-05
24,25000,B0,3.785522107987245e-05
24,25000,B1,2.4129407482688937e-05
24,25000,B2,3.25430148510834e-05
24,50000,B0,3.559830317524673e-05
24,50000,B1,3.403599823586909e-05
24,50000,B2,2.601762576277841e-05
24,100000,B0,2.155538113909397e-05
24,100000,B1,2.3287205088482014e-05
24,100000,B2,1.712393282370585e-05
25,100,B0,0.005972083931329306
25,100,B1,0.0039829184539788625
25,100,B2,0.003972270036485315
25,200,B0,0.002558515393873182
25,200,B1,0.0019892369926495326
25,200,B2,0.0018326519995076698
25,500,B0,0.0008052360916485657
25,500,B1,0.0009211591062238181
25,500,B2,0.0007388486819907829
25,1000,B0,0.00045524829927977154
25,1000,B1,0.0004205539888162762
25,1000,B2,0.00033633915411410376
25,2000,B0,0.0001840555976160313
25,2000,B1,0.00025796124748326063
