x,z,method
0.017343664876541487,0.4954827470121014,active boundary sampling
0.8546871569575949,-1.0,active boundary sampling
0.8150408205938593,0.10445602734033728,active boundary sampling
0.7654545602009455,-1.0,active boundary sampling
-0.05229164504238892,0.5665809085949562,active boundary sampling
0.7522865242861558,0.10045981172104214,active boundary sampling
0.039753171249312214,0.4479887079582333,active boundary sampling
-0.9682813308144758,0.5968313452734066,active boundary sampling
0.2537456579568498,0.33933761623478587,active boundary sampling
-0.9669069502934546,-0.011455268054632815,active boundary sampling
0.5040981413661345,-0.9207955368300714,active boundary sampling
-0.7261437578130097,0.49916233178993785,active boundary sampling
-0.5708766695642526,-0.13063823759481694,active boundary sampling
0.9683797491432922,0.04211486153294387,active boundary sampling
-0.15256736595447884,0.10159471011540752,active boundary sampling
-0.734940365373211,-0.05428092856526756,active boundary sampling
0.8316359409843992,0.0758543805884365,active boundary sampling
0.2950086019878846,-0.7969161230756417,active boundary sampling
-0.9879537951132293,1.0,active boundary sampling
-0.939279531663672,0.0023224690082978136,active boundary sampling
-0.878516348658551,1.0,active boundary sampling
0.8826092176758973,-1.0,active boundary sampling
0.9275577248316063,0.039031387076908855,active boundary sampling
0.9501028556646678,-0.5438566627421124,active boundary sampling
-0.39162098747933927,-0.2463033556996773,active boundary sampling
-0.3597839905929032,0.28623808374201526,active boundary sampling
0.7082316148183365,0.1038207375313248,active boundary sampling
0.4474817071950139,-0.3163057460991562,active boundary sampling
-0.30747861719615055,-0.30642091306286284,active boundary sampling
-0.7105416216871692,0.4671165715434503,active boundary sampling
0.9840452715733721,-0.5628394961233545,active boundary sampling
-0.35667520718828416,0.29707165299919497,active boundary sampling
0.2750056761122306,-0.8115523528267998,active boundary sampling
-0.06978936965135385,0.5796875628360502,active boundary sampling
-0.10805955213158946,0.07538895402045595,active boundary sampling
-0.8840398411705821,-0.025818336763070292,active boundary sampling
-0.8998007104164236,1.0,active boundary sampling
0.9238205807844908,-1.0,active boundary sampling
0.9042656180600084,0.08252610918590571,active boundary sampling
-0.12451552320448078,0.6467191223296791,active boundary sampling
-0.205324240387456,0.1619226124715121,active boundary sampling
0.8460909275883615,0.07214230481053692,active boundary sampling
-0.9945097662541225,0.5868868832887109,active boundary sampling
0.45251675069629615,-0.3540968055040422,active boundary sampling
0.24168761820095663,-0.7676504514683689,active boundary sampling
-0.009146016009708546,-0.5543950564705128,active boundary sampling
0.7901174546140599,-1.0,active boundary sampling
-0.2364186034277569,0.16232453506221525,active boundary sampling
0.28978732804689455,-0.22884857423484484,active boundary sampling
0.3697206723998925,0.23768029957380485,active boundary sampling
0.4371926901171872,0.22836274606152335,active boundary sampling
-0.40910380455096895,0.8630654256267094,active boundary sampling
0.5403028265030783,-0.9466005108431534,active boundary sampling
-0.06675982904070299,0.04302878085238757,active boundary sampling
-0.5665671593490045,-0.1510307328635422,active boundary sampling
0.3179233950624585,-0.27640992821131455,active boundary sampling
-0.9934387292227282,0.02990964741061398,active boundary sampling
-0.20043719519632908,-0.3771761263905699,active boundary sampling
-0.004920011248245482,-0.5508630795828926,active boundary sampling
-0.6983041720827128,0.47566339502030436,active boundary sampling
-0.47883461176598385,0.9061278068736717,active boundary sampling
0.34182303955780124,0.28976666196172834,active boundary sampling
-0.6927926317243622,-0.10903023302547758,active boundary sampling
-0.4597094660367509,0.3297857837261391,active boundary sampling
-0.3886255864525252,0.27624261778235903,active boundary sampling
0.27705439976573065,-0.7847012201470058,active boundary sampling
0.5999784677093434,-0.42757998691151433,active boundary sampling
-0.7336432180423664,-0.07810546061509284,active boundary sampling
0.08872144900849599,0.45851028265959226,active boundary sampling
0.7482649403838066,-0.4741399327587396,active boundary sampling
-0.5318575496167539,-0.16651706617046827,active boundary sampling
