geometry,method,dH_mean,dH_sd,dH_ci95,R_pi_mean,R_pi_sd,R_pi_ci95,C_D_mean,C_D_sd,C_D_ci95
50,active,7.599167208763973e-05,3.475637129225761e-05,1.2437407734879058e-05,3.4825654069315486e-05,1.9296118733616858e-05,6.905027408430648e-06,12.200607933376698,0.00027805097033814795,9.949926187906359e-05
50,uniform,0.048115551649054705,0.022006647993197764,0.007874977847020804,0.021495305792045245,0.011685220839064798,0.0041815025747503525,64.96728876064203,0.5258349377579159,0.18816761586376587
51,active,0.00011049098882825609,3.4418580827763864e-05,1.2316530969564986e-05,0.00012727947380095067,5.253412142627609e-05,1.8799093918006097e-05,23.00088392791063,0.0002753486466222335,9.853224775656374e-05
51,uniform,0.06995944073437631,0.02179276962869838,0.007798442457219036,0.081056087959652,0.02957160626998743,0.010582063399612436,121.64752395818432,1.3307222821494349,0.47619285298255987
52,active,9.557979517048065e-05,3.860571629330712e-05,1.381487815282617e-05,5.140929886422763e-05,2.2269264893490362e-05,7.9689540978654e-06,12.200764638361363,0.00030884573034661817,0.00011051902522266704
52,uniform,0.060518138959066,0.02444393293672292,0.008747149062876608,0.02493516831362989,0.01022267006934709,0.003658135503344011,65.12208257411335,0.4600201531206181,0.16461609765048013
53,active,8.512792443891905e-05,3.6322180086183246e-05,1.2997725215698767e-05,4.8921752144990795e-05,1.4398952509524768e-05,5.152598981356059e-06,12.20068102339551,0.0002905774406895927,0.0001039818017256355
53,uniform,0.05390034108467302,0.02299806918220731,0.008229753363170764,0.028059112401871464,0.01286700967799985,0.0046044002795414965,65.26266005808421,0.5790154355099929,0.20719801257936724
54,active,0.00010859116369321327,4.5609919903996906e-05,1.6321300225249668e-05,8.851520409284353e-05,5.4672471925811405e-05,1.956429281691208e-05,19.400868729309547,0.0003648793592321232,0.0001305704018020503
54,uniform,0.06875653083783174,0.028878775746894656,0.010334137181008772,0.06243348403720541,0.029042746471774083,0.010392813351336237,102.80950678167424,1.3069235912298334,0.4676766008101305
55,active,8.996680321662018e-05,4.951756171029261e-05,1.771963188703582e-05,5.472602782321005e-05,3.344579062578053e-05,1.196842246649875e-05,12.200719734425736,0.0003961404936823625,0.00014175705509629429
