seed,dimension,actions,C_V,C_D,DCR,C_B,C_R,F,C_top
17,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
17,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
17,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
17,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
17,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
18,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
18,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
18,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
18,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
18,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
18,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
18,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
18,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
19,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
19,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
19,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
19,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
19,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
19,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
19,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
19,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
20,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
20,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
20,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
20,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
20,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
20,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
20,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
20,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
21,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
21,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
21,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
21,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
21,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
21,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
